,WebId,Id,Name,Path,Descriptor,PointClass,PointType,DigitalSetName,EngineeringUnits,Span,Zero,Step,Future,DisplayDigits,Description
16,F1DP7qjp812TukOCueRElcymMwbYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ0g,35949,Q0Q1-DCS-ML-105MM201CH,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201CH,Chute Level Shredder,classic,Float32,,%,100,0,FALSE,FALSE,-5,Chute Level Shredder
17,F1DP7qjp812TukOCueRElcymMwTYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQQ,35917,Q0Q1-DCS-ML-105MM201CURA,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201CURA,Shredder Motor CurrentA,classic,Float32,,A,1000,0,FALSE,FALSE,-5,Shredder Motor CurrentA
18,F1DP7qjp812TukOCueRElcymMwTowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQg,35918,Q0Q1-DCS-ML-105MM201CURB,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201CURB,Shredder  Motor CurrentB,classic,Float32,,A,1000,0,FALSE,FALSE,-5,Shredder  Motor CurrentB
19,F1DP7qjp812TukOCueRElcymMwT4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQw,35919,Q0Q1-DCS-ML-105MM201CURC,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201CURC,Shredder  Motor CurrentC,classic,Float32,,A,1000,0,FALSE,FALSE,-5,Shredder  Motor CurrentC
20,F1DP7qjp812TukOCueRElcymMwUowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxRU5H,35922,Q0Q1-DCS-ML-105MM201ENG,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201ENG,Shredder Motor Energy,classic,Float32,,MWh,50000,0,FALSE,FALSE,-5,Shredder Motor Energy
21,F1DP7qjp812TukOCueRElcymMwU4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxRU5HREVM,35923,Q0Q1-DCS-ML-105MM201ENGDEL,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201ENGDEL,Shredder Motor Energy Del.,classic,Float32,,MWh,50000,0,FALSE,FALSE,-5,Shredder Motor Energy Del.
22,F1DP7qjp812TukOCueRElcymMwUIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxUEY,35920,Q0Q1-DCS-ML-105MM201PF,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201PF,Shredder  Motor Power Factor,classic,Float32,,,100,0,FALSE,FALSE,-5,Shredder  Motor Power Factor
23,F1DP7qjp812TukOCueRElcymMwSowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkFC,35914,Q0Q1-DCS-ML-105MM201VAB,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201VAB,Shredder Motor VoltageA-B,classic,Float32,,V,80000,0,FALSE,FALSE,-5,Shredder Motor VoltageA-B
24,F1DP7qjp812TukOCueRElcymMwS4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkJD,35915,Q0Q1-DCS-ML-105MM201VBC,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201VBC,Shredder Motor VoltageB-C,classic,Float32,,V,80000,0,FALSE,FALSE,-5,Shredder Motor VoltageB-C
25,F1DP7qjp812TukOCueRElcymMwTIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkNB,35916,Q0Q1-DCS-ML-105MM201VCA,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201VCA,Shredder Motor VoltageC-A,classic,Float32,,V,80000,0,FALSE,FALSE,-5,Shredder Motor VoltageC-A
