,id,ts,pred_val
0,1,2023-01-05 14:34:59,0.392684102
1,6,2023-01-05 14:41:06,0.383167386
2,11,2023-01-05 14:49:10,0.360894382
3,14,2023-01-05 14:52:10,0.355098
4,20,2023-01-05 14:58:10,0.392797112
5,32,2023-01-05 15:10:10,0.375902742
6,34,2023-01-05 15:12:10,0.376283199
7,36,2023-01-05 15:14:10,0.376283199
8,48,2023-01-05 15:26:10,0.357056558
9,49,2023-01-05 15:27:10,0.357056558
10,50,2023-01-05 15:28:10,0.357056558
11,51,2023-01-05 15:29:10,0.36125645
12,53,2023-01-05 15:31:10,0.353178799
13,55,2023-01-05 15:33:11,0.353019297
14,58,2023-01-05 15:36:10,0.348140359
15,61,2023-01-05 15:39:10,0.367625594
16,64,2023-01-05 15:42:10,0.355868399
17,69,2023-01-05 15:47:11,0.361311138
18,70,2023-01-05 15:48:10,0.358801842
19,71,2023-01-05 15:49:09,0.356476545
20,75,2023-01-05 15:53:10,0.356476545
21,77,2023-01-05 15:55:09,0.356476545
22,78,2023-01-05 15:56:10,0.356476545
23,84,2023-01-05 16:02:10,0.401293427
24,91,2023-01-05 16:09:10,0.384561479
25,92,2023-01-05 16:10:10,0.380972445
26,99,2023-01-05 16:17:10,0.369437188
27,104,2023-01-05 16:22:11,0.358545244
28,117,2023-01-05 16:35:10,0.3569206
29,119,2023-01-05 16:37:10,0.3569206
30,124,2023-01-05 16:42:10,0.3569206
31,126,2023-01-05 16:44:10,0.3569206
32,128,2023-01-05 16:46:10,0.3569206
33,130,2023-01-05 16:48:10,0.3569206
34,134,2023-01-05 16:52:10,0.3569206
35,136,2023-01-05 16:54:10,0.3569206
36,137,2023-01-05 16:55:10,0.3569206
37,142,2023-01-05 17:00:10,0.3569206
38,145,2023-01-05 17:03:10,0.3569206
39,148,2023-01-05 17:06:10,0.3569206
40,149,2023-01-05 17:07:10,0.3569206
41,154,2023-01-05 17:12:10,0.3569206
42,156,2023-01-05 17:14:10,0.3569206
43,157,2023-01-05 17:15:10,0.3569206
44,160,2023-01-05 17:18:10,0.3569206
45,166,2023-01-05 17:24:10,0.3569206
46,172,2023-01-05 17:30:10,0.3569206
47,173,2023-01-05 17:31:10,0.3569206
48,175,2023-01-05 17:33:10,0.3569206
49,181,2023-01-05 17:39:10,0.3569206
50,183,2023-01-05 17:41:10,0.3569206
51,184,2023-01-05 17:42:09,0.3569206
52,186,2023-01-05 17:44:10,0.3569206
53,195,2023-01-05 17:53:10,0.3569206
54,199,2023-01-05 17:57:10,0.3569206
55,203,2023-01-05 18:01:10,0.3569206
56,204,2023-01-05 18:02:11,0.3569206
57,207,2023-01-05 18:05:10,0.3569206
58,214,2023-01-05 18:12:10,0.3569206
59,215,2023-01-05 18:13:10,0.3569206
60,219,2023-01-05 18:17:10,0.3569206
61,220,2023-01-05 18:18:10,0.3569206
62,224,2023-01-05 18:22:10,0.3569206
63,226,2023-01-05 18:24:10,0.3569206
64,236,2023-01-05 18:34:10,0.3569206
65,245,2023-01-05 18:43:10,0.3569206
66,246,2023-01-05 18:44:10,0.3569206
67,250,2023-01-05 18:48:10,0.3569206
68,252,2023-01-05 18:50:10,0.3569206
69,254,2023-01-05 18:52:10,0.3569206
70,257,2023-01-05 18:55:10,0.3569206
71,259,2023-01-05 18:57:10,0.3569206
72,261,2023-01-05 18:59:11,0.3569206
73,262,2023-01-05 19:00:10,0.3569206
74,263,2023-01-05 19:01:09,0.3569206
75,270,2023-01-05 19:08:10,0.3569206
76,273,2023-01-05 19:11:11,0.3569206
77,275,2023-01-05 19:13:10,0.3569206
78,281,2023-01-05 19:19:10,0.3569206
79,285,2023-01-05 19:23:10,0.3569206
80,286,2023-01-05 19:24:10,0.3569206
81,287,2023-01-05 19:25:11,0.3569206
82,288,2023-01-05 19:26:10,0.3569206
83,301,2023-01-05 19:39:11,0.3569206
84,302,2023-01-05 19:40:10,0.3569206
85,304,2023-01-05 19:42:10,0.3569206
86,305,2023-01-05 19:43:10,0.3569206
87,309,2023-01-05 19:47:10,0.3569206
88,312,2023-01-05 19:50:10,0.3569206
89,316,2023-01-05 19:54:10,0.3569206
90,319,2023-01-05 19:57:10,0.3569206
91,340,2023-01-05 20:18:10,0.3569206
92,346,2023-01-05 20:24:09,0.3569206
93,348,2023-01-05 20:26:10,0.3569206
94,354,2023-01-05 20:32:09,0.3569206
95,358,2023-01-05 20:36:10,0.3569206
96,364,2023-01-05 20:42:10,0.3569206
97,368,2023-01-05 20:46:10,0.3569206
98,369,2023-01-05 20:47:10,0.3569206
99,379,2023-01-05 20:57:10,0.3569206
100,380,2023-01-05 20:58:10,0.3569206
101,405,2023-01-05 21:23:10,0.3569206
102,407,2023-01-05 21:25:10,0.3569206
103,408,2023-01-05 21:26:10,0.3569206
104,412,2023-01-05 21:30:10,0.3569206
105,413,2023-01-05 21:31:10,0.3569206
106,423,2023-01-05 21:41:10,0.3569206
107,427,2023-01-05 21:45:10,0.3569206
108,429,2023-01-05 21:47:09,0.3569206
109,430,2023-01-05 21:48:10,0.3569206
110,434,2023-01-05 21:52:10,0.3569206
111,435,2023-01-05 21:53:10,0.3569206
112,439,2023-01-05 21:57:10,0.3569206
113,444,2023-01-05 22:02:10,0.3569206
114,452,2023-01-05 22:10:11,0.3569206
115,459,2023-01-05 22:17:11,0.3569206
116,460,2023-01-05 22:18:10,0.3569206
117,463,2023-01-05 22:21:09,0.3569206
118,464,2023-01-05 22:22:10,0.3569206
119,471,2023-01-05 22:29:09,0.3569206
120,478,2023-01-05 22:36:10,0.3569206
