,id,factory,columnname,webid,name,tagpath,descriptor,pointclass,pointtype,digitalsetname,engineeringunits,span,zero,step,future,displaydigits,created_at
16,17,MAC,tag017,F1DP7qjp812TukOCueRElcymMwbYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ0g,Q0Q1-DCS-ML-105MM201CH,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201CH,Chute Level Shredder,classic,Float32,,%,100,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
17,18,MAC,tag018,F1DP7qjp812TukOCueRElcymMwTYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQQ,Q0Q1-DCS-ML-105MM201CURA,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201CURA,Shredder Motor CurrentA,classic,Float32,,A,1000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
18,19,MAC,tag019,F1DP7qjp812TukOCueRElcymMwTowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQg,Q0Q1-DCS-ML-105MM201CURB,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201CURB,Shredder  Motor CurrentB,classic,Float32,,A,1000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
19,20,MAC,tag020,F1DP7qjp812TukOCueRElcymMwT4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQw,Q0Q1-DCS-ML-105MM201CURC,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201CURC,Shredder  Motor CurrentC,classic,Float32,,A,1000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
20,21,MAC,tag021,F1DP7qjp812TukOCueRElcymMwUowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxRU5H,Q0Q1-DCS-ML-105MM201ENG,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201ENG,Shredder Motor Energy,classic,Float32,,MWh,50000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
21,22,MAC,tag022,F1DP7qjp812TukOCueRElcymMwU4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxRU5HREVM,Q0Q1-DCS-ML-105MM201ENGDEL,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201ENGDEL,Shredder Motor Energy Del.,classic,Float32,,MWh,50000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
22,23,MAC,tag023,F1DP7qjp812TukOCueRElcymMwUIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxUEY,Q0Q1-DCS-ML-105MM201PF,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201PF,Shredder  Motor Power Factor,classic,Float32,,,100,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
23,24,MAC,tag024,F1DP7qjp812TukOCueRElcymMwSowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkFC,Q0Q1-DCS-ML-105MM201VAB,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201VAB,Shredder Motor VoltageA-B,classic,Float32,,V,80000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
24,25,MAC,tag025,F1DP7qjp812TukOCueRElcymMwS4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkJD,Q0Q1-DCS-ML-105MM201VBC,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201VBC,Shredder Motor VoltageB-C,classic,Float32,,V,80000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
25,26,MAC,tag026,F1DP7qjp812TukOCueRElcymMwTIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkNB,Q0Q1-DCS-ML-105MM201VCA,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM201VCA,Shredder Motor VoltageC-A,classic,Float32,,V,80000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
